table_name,constraint_name,constraint_kind,definition,referenced_table,on_delete
purchase_order,purchase_order_service_request_fk,f,FOREIGN KEY (service_request_id) REFERENCES service_request(id) ON UPDATE CASCADE ON DELETE RESTRICT,service_request,restrict
purchase_order,purchase_order_settlement_fk,f,FOREIGN KEY (settlement_id) REFERENCES settlement(id) ON UPDATE CASCADE ON DELETE SET NULL,settlement,set null
purchase_order,purchase_order_pkey,p,PRIMARY KEY (id),,
purchase_order,purchase_order_offer_unique,u,UNIQUE (offer_id),,
purchase_order,purchase_order_service_request_unique,u,UNIQUE (service_request_id),,
review,review_exactly_one_target,c,"CHECK (num_nonnulls(target_product_id, target_service_request_id, target_marketplace_party_id) = 1)",,
review,review_rating_bounds,c,CHECK (rating >= 1 AND rating <= 5),,
review,review_target_kind_agreement,c,CHECK (target_kind = 'product'::review_target_kind AND target_product_id IS NOT NULL OR target_kind = 'service_request'::review_target_kind AND target_service_request_id IS NOT NULL OR target_kind = 'marketplace_party'::review_target_kind AND target_marketplace_party_id IS NOT NULL),,
review,review_customer_fk,f,FOREIGN KEY (customer_profile_id) REFERENCES customer_profile(id) ON UPDATE CASCADE ON DELETE RESTRICT,customer_profile,restrict
review,review_target_party_fk,f,FOREIGN KEY (target_marketplace_party_id) REFERENCES marketplace_party(id) ON UPDATE CASCADE ON DELETE RESTRICT,marketplace_party,restrict
review,review_target_product_fk,f,FOREIGN KEY (target_product_id) REFERENCES product(id) ON UPDATE CASCADE ON DELETE RESTRICT,product,restrict
review,review_target_service_request_fk,f,FOREIGN KEY (target_service_request_id) REFERENCES service_request(id) ON UPDATE CASCADE ON DELETE RESTRICT,service_request,restrict
review,review_pkey,p,PRIMARY KEY (id),,
saved_space,saved_space_dimensions_positive,c,CHECK (width_cm > 0::numeric AND depth_cm > 0::numeric),,
saved_space,saved_space_name_not_blank,c,CHECK (length(btrim(space_name)) > 0),,
saved_space,saved_space_customer_fk,f,FOREIGN KEY (customer_profile_id) REFERENCES customer_profile(id) ON UPDATE CASCADE ON DELETE CASCADE,customer_profile,cascade
saved_space,saved_space_pkey,p,PRIMARY KEY (id),,
service_request,service_request_completed_timestamp,c,CHECK (lifecycle_state <> 'completed'::service_request_state OR completed_at IS NOT NULL),,
service_request,service_request_executor_when_claimed,c,CHECK (lifecycle_state = 'pending'::service_request_state OR lifecycle_state = 'cancelled'::service_request_state OR marketplace_party_id IS NOT NULL AND accepted_at IS NOT NULL),,
service_request,service_request_price_non_negative,c,CHECK (price IS NULL OR price >= 0::numeric),,
service_request,service_request_priced_when_claimed,c,"CHECK ((lifecycle_state = ANY (ARRAY['pending'::service_request_state, 'cancelled'::service_request_state])) OR price IS NOT NULL)",,
service_request,service_request_address_fk,f,FOREIGN KEY (address_id) REFERENCES address(id) ON UPDATE CASCADE ON DELETE RESTRICT,address,restrict
service_request,service_request_customer_fk,f,FOREIGN KEY (customer_profile_id) REFERENCES customer_profile(id) ON UPDATE CASCADE ON DELETE RESTRICT,customer_profile,restrict
service_request,service_request_party_fk,f,FOREIGN KEY (marketplace_party_id) REFERENCES marketplace_party(id) ON UPDATE CASCADE ON DELETE RESTRICT,marketplace_party,restrict
service_request,service_request_related_order_fk,f,FOREIGN KEY (related_order_id) REFERENCES purchase_order(id) ON UPDATE CASCADE ON DELETE SET NULL,purchase_order,set null
service_request,service_request_service_type_fk,f,FOREIGN KEY (service_type_id) REFERENCES service_type(id) ON UPDATE CASCADE ON DELETE RESTRICT,service_type,restrict
service_request,service_request_pkey,p,PRIMARY KEY (id),,
