table_name,ordinal_position,column_name,role_name,table_select,table_insert,table_update,table_delete,column_select,column_insert,column_update,has_column_acl
design_version,1,id,anon,false,false,false,false,false,false,false,false
design_version,1,id,authenticated,true,true,true,true,true,true,true,false
design_version,1,id,service_role,true,true,true,true,true,true,true,false
design_version,2,design_id,anon,false,false,false,false,false,false,false,false
design_version,2,design_id,authenticated,true,true,true,true,true,true,true,false
design_version,2,design_id,service_role,true,true,true,true,true,true,true,false
design_version,3,version_sequence,anon,false,false,false,false,false,false,false,false
design_version,3,version_sequence,authenticated,true,true,true,true,true,true,true,false
design_version,3,version_sequence,service_role,true,true,true,true,true,true,true,false
design_version,4,generated_image_url,anon,false,false,false,false,false,false,false,false
design_version,4,generated_image_url,authenticated,true,true,true,true,true,true,true,false
design_version,4,generated_image_url,service_role,true,true,true,true,true,true,true,false
design_version,5,requested_attributes,anon,false,false,false,false,false,false,false,false
design_version,5,requested_attributes,authenticated,true,true,true,true,true,true,true,false
design_version,5,requested_attributes,service_role,true,true,true,true,true,true,true,false
design_version,6,requested_width_cm,anon,false,false,false,false,false,false,false,false
design_version,6,requested_width_cm,authenticated,true,true,true,true,true,true,true,false
design_version,6,requested_width_cm,service_role,true,true,true,true,true,true,true,false
design_version,7,requested_height_cm,anon,false,false,false,false,false,false,false,false
design_version,7,requested_height_cm,authenticated,true,true,true,true,true,true,true,false
design_version,7,requested_height_cm,service_role,true,true,true,true,true,true,true,false
design_version,8,requested_depth_cm,anon,false,false,false,false,false,false,false,false
design_version,8,requested_depth_cm,authenticated,true,true,true,true,true,true,true,false
design_version,8,requested_depth_cm,service_role,true,true,true,true,true,true,true,false
design_version,9,modification_instruction,anon,false,false,false,false,false,false,false,false
design_version,9,modification_instruction,authenticated,true,true,true,true,true,true,true,false
design_version,9,modification_instruction,service_role,true,true,true,true,true,true,true,false
design_version,10,generated_at,anon,false,false,false,false,false,false,false,false
design_version,10,generated_at,authenticated,true,true,true,true,true,true,true,false
design_version,10,generated_at,service_role,true,true,true,true,true,true,true,false
furnishing_request,1,id,anon,false,false,false,false,false,false,false,false
furnishing_request,1,id,authenticated,true,true,true,true,true,true,true,false
furnishing_request,1,id,service_role,true,true,true,true,true,true,true,false
furnishing_request,2,customer_profile_id,anon,false,false,false,false,false,false,false,false
furnishing_request,2,customer_profile_id,authenticated,true,true,true,true,true,true,true,false
furnishing_request,2,customer_profile_id,service_role,true,true,true,true,true,true,true,false
furnishing_request,3,address_id,anon,false,false,false,false,false,false,false,false
furnishing_request,3,address_id,authenticated,true,true,true,true,true,true,true,false
furnishing_request,3,address_id,service_role,true,true,true,true,true,true,true,false
furnishing_request,4,title,anon,false,false,false,false,false,false,false,false
furnishing_request,4,title,authenticated,true,true,true,true,true,true,true,false
